Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Style Name (product.metafields.custom.style_name),Fabric (product.metafields.custom.fabric),Work (product.metafields.custom.work),Blouse Type (product.metafields.custom.blouse_type),Neck Style (product.metafields.custom.neck_style),Sleeve Length (product.metafields.custom.sleeve_length),Lining (product.metafields.custom.lining),Closure (product.metafields.custom.closure),Care Instructions (product.metafields.custom.care_instructions),Origin (product.metafields.custom.origin),Size Chart Type (product.metafields.custom.size_chart_type),Color Group (product.metafields.custom.color_group)
Vamas Tafetta Silk Zari Butti Round Neck Festive Blouse,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,Vamas Tafetta Silk Zari Butti Round Neck Festive Blouse,VAMAS,Apparel & Accessories > Clothing > Blouses,Blouse,"front-open,round-neck,tafeta-silk,padded-blouse,elbow-sleeves,the-kanjivaram-companion,occasion-wear",TRUE,active,CO-729_BOTTLE-GREEN_32,8908674826556,COLOR,BOTTLE-GREEN,,SIZE,32,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,1,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,FALSE,Vamas Tafetta Silk Zari Butti Round Neck Festive Blouse | Vamas,Vamas Tafetta Silk Zari Butti Round Neck Festive Blouse,,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult,CO-729_BOTTLE-GREEN_32,,"front-open,round-neck,tafeta-silk,padded-blouse,elbow-sleeves,the-kanjivaram-companion,occasion-wear",,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_34,8908674818612,,BOTTLE-GREEN,,,34,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,https://i.ibb.co/qLQp22LZ/E-729-BOTTLE-GREEN-HB.jpg,2,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_34,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_36,8908674818629,,BOTTLE-GREEN,,,36,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,https://i.ibb.co/HfbwWgnB/E-729-BOTTLE-GREEN-HS.jpg,3,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_36,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_38,8908674818636,,BOTTLE-GREEN,,,38,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,https://i.ibb.co/840BxBph/E-729-BOTTLE-GREEN-FF.jpg,4,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_38,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_40,8908674818643,,BOTTLE-GREEN,,,40,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,,,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_40,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_42,8908674818650,,BOTTLE-GREEN,,,42,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,,,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_42,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_44,8908675350951,,BOTTLE-GREEN,,,44,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,,,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_44,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_46,8908675550474,,BOTTLE-GREEN,,,46,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,,,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_46,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_48,8908675550481,,BOTTLE-GREEN,,,48,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,,,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_48,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
,vamas-tafetta-silk-zari-butti-round-neck-festive-blouse,,,,,,,,CO-729_BOTTLE-GREEN_50,8908675550498,,BOTTLE-GREEN,,,50,,,,,1399,1399,1399,TRUE,,,,,,Shopify,10,DENY,150,g,TRUE,manual,,,,https://i.ibb.co/Gv8c9qQQ/E-729-BOTTLE-GREEN-HF.jpg,,,,,,,,CO-729_BOTTLE-GREEN_50,,,,,,,,,,CO-729,ART SILK,NA,Readymade Padded Blouse,ROUND NECK,ELBOW SLEEVES,Soft Butter Inner Lining,Front Open,DRY CLEAN ONLY,Handcrafted in India,padded_blouse,BOTTLE-GREEN
